City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
380,Bima,ID,74.61,overcast clouds,-8.4667,118.7167,Lambitu Hotel
381,Srandakan,ID,75.33,overcast clouds,-7.9386,110.2506,Puri Brata
382,Morondava,MG,77.38,clear sky,-20.2833,44.2833,La Case Bambou
383,Nam Som,TH,73.96,broken clouds,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
385,Bambanglipuro,ID,75.13,overcast clouds,-7.95,110.2833,Puri Brata
387,Maputo,MZ,71.28,light rain,-25.9653,32.5892,Pestana Rovuma
388,Jorhat,IN,72.9,clear sky,26.75,94.2167,Hotel Jora Palace
393,Katsuura,JP,70.2,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
396,Meulaboh,ID,76.06,overcast clouds,4.1363,96.1285,Kost Pria
399,Texarkana,US,86.22,clear sky,33.4251,-94.0477,Holiday Inn Express & Suites
401,Karratha,AU,71.82,clear sky,-20.7377,116.8463,ibis Styles Karratha
402,Banda Aceh,ID,79.65,overcast clouds,5.5577,95.3222,Sulthan Hotel International
404,Barra Da Estiva,BR,85.03,overcast clouds,-13.6261,-41.3269,Pousada Central
407,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
408,Itarema,BR,81.3,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
409,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
411,San Juan,AR,80.28,clear sky,-31.5375,-68.5364,Hotel Provincial
415,Anloga,GH,80.24,light rain,5.7947,0.8973,Pin Drop Hotel
421,Pierre,US,86.92,clear sky,44.3683,-100.351,Ramkota Hotel
422,Cap Malheureux,MU,71.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
423,Kloulklubed,PW,82.62,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
424,Matara,LK,77.29,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
426,Bhawana,PK,82.54,clear sky,31.5692,72.649,Dera Gujjaran bhawana ڈیرہ گجراں بھوانہ
427,Galveston,US,89.64,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
429,Sechura,PE,72.91,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
433,Sagauli,IN,80.17,overcast clouds,26.7833,84.7333,Mohammad saukhat ali
434,Port Moresby,PG,73.78,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
442,Weligama,LK,77.5,overcast clouds,5.9667,80.4167,Weligama Bay Resort
443,Galiakot,IN,83.77,overcast clouds,23.5167,74.0,Galiakot
445,Puerto Baquerizo Moreno,EC,74.39,broken clouds,-0.9,-89.6,Hotel los Algarrobos
448,Kieta,PG,79.14,light rain,-6.2167,155.6333,Uruna Bay Retreat
452,Dunmore Town,BS,82.31,clear sky,25.5,-76.65,Coral Sands Hotel
453,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
456,Pinawa,CA,84.51,few clouds,50.1489,-95.8811,Pinawa Motel
457,Lalmohan,BD,81.05,overcast clouds,22.3384,90.7419,Sundorbon courier service
459,Tripoli,LY,81.03,clear sky,32.8752,13.1875,Hotel Al-Safwa
461,Lorengau,PG,80.22,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
462,Mitsamiouli,KM,75.78,clear sky,-11.3847,43.2844,Foyer ADM
464,Milton,US,72.19,overcast clouds,34.1322,-84.3007,Children's Cottage Montessori
469,Tagusao,PH,77.92,moderate rain,9.1924,117.8141,Toledo
474,Jambi,ID,74.07,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
476,Qurayyat,SA,70.57,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
477,Naze,JP,76.96,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
480,Semporna,MY,80.26,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
485,Paita,PE,79.36,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
486,Hambantota,LK,79.12,overcast clouds,6.1241,81.1185,Bungalow 63
487,Kharan,PK,77.29,clear sky,28.5833,65.4167,Dil Aram Bangla
488,Marsabit,KE,72.9,scattered clouds,2.3284,37.9899,Chicho Hotel
489,Marsa Matruh,EG,71.24,clear sky,31.3525,27.2453,Beau Site
495,Ormara,PK,80.01,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
496,Jipijapa,EC,79.48,broken clouds,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
499,Castro Alves,BR,84.16,overcast clouds,-12.7656,-39.4283,Hotel e Restaurante do Poeta
501,Nkhotakota,MW,78.64,clear sky,-12.9274,34.2961,Sitima Inn
502,Lander,US,76.1,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
503,Pasaje,EC,75.27,broken clouds,-3.3333,-79.8167,Finca Huaylala
505,Juba,SS,75.76,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
506,Port-Gentil,GA,78.19,overcast clouds,-0.7193,8.7815,Fengshui Residence
507,Dondo,MZ,72.91,clear sky,-19.6094,34.7431,Arco Iris
508,Caravelas,BR,77.77,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
513,Nuh,IN,89.67,scattered clouds,28.1167,77.0167,Soyab Harun
515,Amuntai,ID,73.15,overcast clouds,-2.4177,115.2494,Hotel Balqis
517,Parvatsar,IN,84.09,broken clouds,26.8833,74.7667,Shree Hotel
